<Trait>	Trait_1_H2_0.9	Trait_2_H2_0.9	Trait_3_H2_0.9	Trait_4_H2_0.9	Rep
X2899884	17.4861888542956	1.39316253753466	-0.787934881921215	3.57679758574819	1
X2899885	18.6444712257055	0.318602818118321	12.2403376864415	-0.81277317416821	1
X2899886	34.8344131185858	1.96607821296911	34.3184571362711	-3.87552167760292	1
X2899887	42.3687393098407	-1.33887041178123	48.2806294729267	-7.3046563193959	1
X2899888	11.836770065325	-1.47647167253411	15.1409854783564	4.86039258192797	1
X2899889	5.45335265486057	0.502200743023855	1.87047469476791	1.40713436475147	1
X2899890	10.5804859108703	1.00343267254324	6.61438929981239	-8.25409770407981	1
X2899891	38.129223148446	-0.986063330082732	32.8133876080041	-1.98066550800582	1
X2899892	2.0129884156207	-0.476744668726972	1.56127286044527	-5.6919890826552	1
X2899893	24.1161845048362	0.441151886392174	18.5247933151369	5.0172847658357	1
X2899894	-25.273445918542	-1.51809979618706	-17.6061653791374	-1.81075660741131	1
X2899895	27.2225005671819	-0.481899025786994	40.3627853499275	4.09288135096057	1
X2899896	-3.19946311070729	-0.444663302152646	7.43375000148582	-2.69663522108496	1
X2899897	8.97080518645114	0.112928792817083	3.22244705594373	11.8010315807297	1
X2899898	-1.05382351963879	-1.98904462174663	12.7689044373102	-1.10276988736395	1
X2899899	5.51912475310422	1.99750290941562	-1.46424396425491	7.24691648119768	1
X2899900	18.3419571007377	0.808047813394001	32.0603403895863	-5.48401178488445	1
X2899901	11.7729608483721	-0.585816004897474	26.5699672774438	-3.21810681612666	1
X2899902	39.0939860382715	-1.68899694518435	52.9508255091784	-5.41530645853522	1
X2899903	6.8293426202106	-0.351696564634189	-8.05864136146795	4.91204222651945	1
X2899904	16.0943408396141	-0.283255082188052	28.6066773019073	1.3447566778052	1
X2899905	-7.53855153771808	0.273931531287598	-1.40719058063359	-6.77758391819228	1
X2899906	9.82149806708209	1.05687539626786	19.480436427858	-3.87755317233039	1
X2899907	15.6581195963677	-0.303880607073603	21.5602016504243	-9.18178827794395	1
X2899908	14.4784624305573	-0.737768896908665	6.17383374011929	2.87709860466087	1
X2899909	-26.6641164435582	-1.37347288360813	-3.36643793239624	-5.3371740675413	1
X2899910	-12.1611519824706	1.34198993946146	-18.6256039992145	3.79261052797465	1
X2899911	9.08620690318028	-2.81756261590617	13.3803188549057	-3.15188798680701	1
X2899912	19.2308636956707	-2.33585799292769	31.8139850495524	-2.89581994508978	1
X2899913	25.4110957841346	-1.04327626838198	18.6327973153984	-3.10759381295695	1
X2899914	-4.22001779712276	-1.53154541317977	2.37508124602632	5.14596363434352	1
X2899915	-53.0323519053919	-0.307516551035114	-49.6656508386279	2.23477988897711	1
X2899916	-5.07028403759888	-1.10370333781939	8.06280945749575	-4.47970592963121	1
X2899917	0.13635151960208	-0.207660399585075	-3.52968029505444	0.699315689188349	1
X2899918	52.5880508638406	-1.85108318588485	63.2699796976259	-7.13223369480644	1
X2899919	25.212917266776	-1.62209867781277	29.5933852236057	4.77881409319758	1
X2899920	-0.468607814061844	-0.118471712395852	-0.934799963118793	-5.88835867469555	1
X2899921	21.3407574566026	-1.02847691366445	21.4763234389643	-4.93017227262514	1
X2899922	14.3061600093654	-0.169945273580596	11.7320630185679	7.78442965779516	1
X2899923	13.2338774883732	-1.97763322276723	0.774451564874774	9.46160119906033	1
X2899924	21.2982210499014	-2.04619212994433	12.8381721264201	4.49427400103613	1
X2899925	15.6157910089136	-2.33210869943099	20.1176798341442	2.73349157527913	1
X2899926	23.9372304820955	-0.31668255991173	28.2946166953876	0.900646126014506	1
X2899927	-25.6932172871957	-1.34823147085954	-19.331073468851	-0.805700596303344	1
X2899928	1.63462986364144	0.687738036157643	2.93208107602096	2.10752711914812	1
X2899929	-12.7453411424239	-0.785159261654293	-9.84689215352962	-0.884005341003969	1
X2899930	-21.8866106720353	-4.48115088151077	-28.2025067642861	-3.13509713175681	1
X2899931	23.4735734719846	1.02098354407458	16.3821565748051	0.647598364991477	1
X2899932	11.0353196975189	-0.127184685368395	14.8246219026791	1.30506404148636	1
