<Trait>	Heritability_0.9_Rep_1	Heritability_0.9_Rep_2	Heritability_0.9_Rep_3	Heritability_0.9_Rep_4	Heritability_0.9_Rep_5	Heritability_0.9_Rep_6	Heritability_0.9_Rep_7	Heritability_0.9_Rep_8	Heritability_0.9_Rep_9	Heritability_0.9_Rep_10
CI.7	45.1115509776728	80.8757195195288	58.0505443670233	66.8912785080437	92.7283188245292	75.4675692861616	27.6609757949052	82.3029892665252	46.0088539215927	90.2505662682514
CI187-2	206.617480756131	195.792850349203	172.850921461998	198.435433883	210.148597750868	192.707846890757	192.69165652942	205.770720441068	186.584128702415	170.591656703376
CI21E	175.242215832408	130.900405526456	167.935665954518	126.32614332038	157.618816741993	162.151749513216	118.764650562256	110.408625270994	158.607373020845	128.39353838553
CI28A	93.6372287691413	61.6181664504547	79.5615619987773	55.7961074075047	109.111385516576	26.9859193523978	8.10539573999042	66.223599750664	87.5204414211186	86.7351892793158
CI31A	-77.6950720165407	-49.4176417202412	-28.1535648107426	-37.4636279840928	-35.6673295354675	-89.3216114519089	-85.0084809820262	-30.3011926647762	-59.2754134816432	-46.5265823841699
CI3A	15.338859597226	57.9439183259713	23.7364630937688	62.9884725510735	18.9824902058558	15.9626213412117	31.4735908549964	36.4851933606236	4.62441491496898	73.3669725924131
CI64	1.5163299413243	12.6375811673557	39.111523078461	-5.27283050202994	6.41437719369514	26.8676267397166	-34.1560994173628	32.3544544989539	32.8319963301983	34.0369144791979
CI66	21.6341283661218	37.7092206050549	16.7165705122594	26.3371740392255	56.5524381389326	47.267698010399	89.8780918381335	65.038658467302	102.485524705764	31.484989218027
CI90C	-1.92138495908238	10.8800493408613	20.4321353480136	58.4440373764046	1.65444144539271	48.5684445640576	17.043620724582	27.1964965864473	23.3928367106423	43.0082730366379
CI91B	217.22637165	150.210958518924	208.40035252378	188.242698554217	192.915397822489	225.646027200231	184.97215920029	176.130091168448	224.729641306967	185.184150401295
CM105	-14.9634551257688	-0.190736858268224	4.57458026853631	-17.2714158551018	16.1474360312035	-21.6317062922905	-0.0250361318574068	8.67892283455801	13.3570565516592	-47.768652917428
CM174	115.599085403277	79.5747133829935	53.9196438608212	59.8403524741898	120.972360130439	31.8422160420984	87.9468675975642	85.2028278745618	74.8412302495814	98.3300782534383
CM37	15.4540150229982	5.68586083650277	-39.760709851728	17.4678803893677	11.1719475340506	27.5831365095762	23.1296921412866	22.232240216134	-6.62388578428734	9.92113774570199
CM7	-14.482170703615	-38.973254026394	-3.00644803558214	-34.4025800602329	36.918932480194	-20.5721445781071	-48.4593175121141	-23.061825984615	-45.6789778481837	-35.372419749392
CML103	-39.0315878423917	39.3009605731981	40.0587134341855	-37.0601619461009	-17.2240726834967	5.62092556798482	-25.2571792475746	22.5851609056191	-25.0520369421775	-23.5316754587672
