<Trait>	Trait_1_H2_1	Trait_2_H2_1	Trait_3_H2_1	Trait_4_H2_1	Rep
X2923282	-5.31501233842103	-1.95998830381499	-0.391868303538677	-2.96315573106735	1
X2923283	-24.134523489503	-4.67278999353719	-4.68328810653062	-14.7784453894351	1
X2923284	-4.69643524964157	-3.58383174985107	5.1119272906738	-6.22453079046437	1
X2923285	7.9352870297069	-0.421257631421933	15.5474624622783	-7.19091780114946	1
X2923286	-35.4330678050098	-2.87858562295582	-24.3306270903462	-8.22385509170782	1
X2923287	8.36383976306011	-1.95998830381499	16.5544156850048	-6.23058761812957	1
X2923288	-7.62647939891125	-3.08787142256505	0.106104478085977	-4.64471245443219	1
X2923289	-17.4599408830982	-1.95998830381499	-0.464889891890123	-15.0350626873931	1
X2923290	17.8952599346751	-0.421257631421933	24.8490974959014	-6.53257992980429	1
X2923291	-26.7395322922152	-4.51277444550171	-8.6286505502603	-13.5981072964532	1
X2923292	-4.78619637912385	-4.67278999353719	9.48612125412737	-9.59952763971412	1
X2923293	-4.81101834707612	-4.89451269527766	5.20915684452763	-5.12566249632607	1
X2923294	-13.6097355781163	-4.67278999353719	3.00029387626738	-11.9372394608465	1
X2923295	-1.16281301728816	-4.67278999353719	14.6947124370367	-11.1847354607878	1
X2923296	-1.04786424947923	-0.421257631421933	7.15871821177265	-7.78532482982993	1
X2923297	-3.81595093354708	-0.554208041544424	4.69462200563473	-7.9563648976374	1
X2923298	-37.8522141237579	-1.95998830381499	-28.6918806428913	-7.2003451770516	1
X2923299	-12.7378621627748	0.440725389163332	-12.3640817885224	-0.814505763415681	1
X2923300	6.53898766762176	-0.421257631421933	18.5554281545505	-11.5951828555068	1
X2923301	15.7204773465533	0.440725389163332	18.442282409911	-3.16253045252104	1
X2923302	-15.7262966022793	1.03223158070283	-12.9401821063763	-3.81834607660588	1
X2923303	29.1901451884546	0.741585756091321	23.7058584903698	4.74270094199352	1
X2923304	-6.72254507155347	0.227158237789543	-2.54340161239285	-4.40630169695018	1
X2923305	-0.538219858487072	-0.288307221299443	4.64925475902445	-4.89916739621207	1
X2923306	8.87570646913852	1.25939477847592	9.45486958351377	-1.83855789285116	1
X2923307	6.36461471236422	0.848493075798789	14.2120043229717	-8.69588268640621	1
X2923308	-19.0215606354665	0.440725389163332	-18.9504482194741	-0.511837805155828	1
X2923309	1.14102294218967	1.98178566695501	-9.45812605175637	8.61736332699102	1
X2923310	12.9765638237421	2.15521264373008	15.6511010918931	-4.82974991188093	1
