<Trait>	Trait_1_H2_0.9	Trait_2_H2_0.9	Trait_3_H2_0.9	Trait_4_H2_0.9	Rep
X2458230	62.5337631290138	-1.59474384287633	62.3890357104054	-11.2729704587374	1
X2450209	1.29372109372445	0.751432098766212	6.41544517503885	1.39772017136278	1
X2471315	-15.7133033108645	2.12645675722646	15.1739941187424	-6.32252163901199	1
X2451646	4.29959326489599	-0.00490224797747604	16.3921897485427	-6.25434126646405	1
X2481015	-45.0239789586236	0.533950143299437	-15.0908784595666	-3.48528422682193	1
X2448751	-55.4352525247481	1.28874734599784	-77.8405636908093	-5.56835146432247	1
X2448822	-41.3092949730747	-0.101484781962625	-18.2888501849089	-6.329889969247	1
X2486608	2.23219685767598	-0.475023376353612	10.8994762947492	-3.36672800766394	1
X2471208	-42.4265996263683	0.670952758715472	-26.0531552023804	-13.1050123736894	1
X2471091	-1.69785121039315	1.86303316402186	-3.50618482486936	-2.86807934404974	1
X2458441	-81.1508707685831	0.412145065886628	-62.1691341823507	-15.6943977743682	1
X2458419	-33.909045092435	1.63709041256526	-26.4424456976294	-5.69164704761208	1
X2454267	-72.4049167223431	-0.092863458531176	-71.4507361978238	-13.8471056641941	1
X2485334	-46.3927592917827	1.02392705307318	-3.8927305678177	-8.86253059996761	1
X2460412	-39.1708579652023	0.395260673141842	-72.2296327355569	13.9305825450738	1
X2457289	-21.3241097330192	1.40796878759724	-14.4236730648967	-3.11029242100604	1
X2471002	-26.9952124837755	1.52658893035879	4.41645864446837	-4.97885253094855	1
X2487127	-11.904300387108	0.111608877370173	-11.0781270860165	5.43340850409361	1
X2485551	-59.160019087946	0.522985183731213	-98.6439423260214	6.29473974166583	1
X2465541	13.0974092108416	1.13311701171557	-5.53088381181322	2.40338270006602	1
X2448492	-34.8887987522064	2.24910277360433	-44.8940900918294	-7.4734730399962	1
X2470609	-33.2914456498629	-0.407582062182594	-3.18961243609982	-14.6413801488171	1
X2487756	-22.6156742262986	1.15978967869537	-25.7498948439577	-7.85056852634995	1
X2469644	-5.41419965531491	1.30120857294291	12.7389934729307	-14.9762246585694	1
X2421279	19.0325315128129	1.98714131806954	18.5363002166578	-10.2975040998988	1
X2470462	0.338803278871984	1.99815094044911	7.57646860695126	1.51392182786622	1
X2487242	-82.6942426488213	-0.304774104157997	-89.1599230840004	-0.94755233908	1
X2470853	-98.3777353274626	0.801017482042575	-52.2746477365722	-10.2494466478053	1
X2469112	33.0572049650158	-0.766656221874981	38.6585237107769	8.68729944552691	1
X2422900	-4.74698520838426	0.829047758990285	52.2698598606341	-22.4294083492493	1
X2456545	16.2361200431845	2.06916821523531	23.7598647040576	3.77751164389002	1
X2467580	11.4448074067774	0.919500109037141	15.8402300052033	-2.15580900068799	1
X2457325	14.0401126107658	-1.54720078007088	41.3863358268524	-3.1545416894885	1
X2456346	-100.881897500102	0.21689487907503	-80.8126017172491	-10.8288855508811	1
X2458324	75.2237438794161	-2.8460256918208	73.7337544099108	-0.335625094301721	1
X2463405	24.7547391880462	1.81690763537781	38.6039330717818	-10.5173061554141	1
X2474588	-42.5974957013658	0.675088882259894	-44.2426548985971	-13.0662785567543	1
X2458617	-13.4766925541115	-0.588665330161617	-45.1660133599135	18.7082920614921	1
X2488377	-12.1552262487231	0.52066143501065	-13.388799904671	-9.06037922530913	1
X2456472	-29.0673750156619	1.24622892429463	-49.1393610347059	-8.4985306106911	1
X2468815	1.66423119000091	-0.298778115832281	63.5791520729319	-15.6566422761597	1
X2456537	14.5315023079904	1.717719080726	18.5033769407086	0.596766741232698	1
X2456258	30.9936582884011	-1.31705415115106	51.3519703962572	-3.95538354084813	1
X2448919	-14.2599961681534	1.47190595685574	20.7560302530006	-3.62541073898713	1
X2484569	6.64477810828997	-0.625961192682737	34.7069771526847	-14.5747625073905	1
X2467307	-51.7249431480899	1.07097383952111	-43.5199193215964	-14.938133052644	1
X2471213	-99.748183850923	0.603019898612596	-86.6934537966189	-1.76262830536077	1
X2465366	-44.8788669389349	0.295439945371904	-43.729135711644	-7.36272837671911	1
X2488321	-11.31797614707	-0.110937334745942	12.6268316272846	-12.1256612700021	1
X2406088	-0.345451257229542	-0.418132208763572	-22.0358557150148	-6.59966071662474	1
X2456684	88.2691954409468	-2.03667166230425	81.9313174741262	3.80536978293373	1
X2449720	-67.9860938608412	-0.156764552551988	-115.991664312136	-0.292514704163326	1
X2471062	10.2943137883006	0.148624590950804	-7.74225819043226	-12.7184308978014	1
X2458527	41.3144461020552	-1.19254457807273	44.6203539105383	0.631363691625768	1
X2467584	26.7630954222041	2.12536732571438	14.2378484018252	10.4941715797522	1
X2461573	-11.667178610081	2.40197654543843	-14.1284210879427	-11.5275324692274	1
