<Trait>	Trait_1_H2_1	Trait_2_H2_1	Trait_3_H2_1	Trait_4_H2_1	Rep
X2388330	-3.00741250958001	-4.58225018613301	16.4868112790278	-14.9119736024748	1
X2485788	-21.1600750709151	-2.4876242537077	-16.6864381501016	-1.98601266710587	1
X2423312	-64.0697521837737	-4.26221909006206	-49.8929871566648	-9.91454593704663	1
X2476328	2.34269532135583	-4.58225018613301	16.1816902913695	-9.25674478388065	1
X2438610	-66.1805068449241	-4.26221909006206	-45.7806163988524	-16.1376713560096	1
X2455742	30.3382853236871	-2.52266982706299	33.3679492180227	-0.506994067272757	1
X2484271	-1.24724143301059	-2.4876242537077	18.0374960054303	-16.7971131847331	1
X2488409	13.0628727095812	2.89545371712488	0.0323989040382644	10.1350200884181	1
X2447497	-14.6245082172937	0.955217388761591	-23.1144941928498	7.53476858679472	1
X2476211	-20.8324325778191	6.0714181472962	-36.376949368381	9.4730986432657	1
X2443085	5.28190423750497	4.78533381750916	-14.6173465214677	15.1139169414636	1
X2485258	-97.7784170648592	-4.71485830379783	-97.1816983331675	4.11813957210633	1
X2388255	43.4348108479921	6.0714181472962	36.2699527291025	1.09343997159352	1
X2480906	18.2068511179037	6.0714181472962	14.4632660098344	-2.32783303922697	1
X2451505	24.0998077001122	4.78533381750916	7.60949912973299	11.7049747528699	1
X2485231	-65.9552817796313	-4.71485830379783	-64.254863952951	3.01444047711744	1
X2476178	3.48350537215183	2.30345496888418	-1.18326150626194	2.36331190952956	1
X2478527	-2.41521467580796	0.967772561508998	11.9789141148665	-15.3619013521834	1
X2485860	-37.9990166234383	-2.4876242537077	-24.6738297458249	-10.8375626239057	1
X2487502	8.82733908102248	-0.465294464962519	11.2635500622044	-1.97091651621947	1
X2477512	-71.0573427147636	-4.58225018613301	-51.8366453958285	-14.6384471328022	1
X2475043	36.3062173330822	-2.4876242537077	23.2848255612429	15.5090160255472	1
X2470001	-37.0325810473858	-2.4876242537077	-37.9959973513236	3.45104055764541	1
X2424221	-64.7915151983843	4.78533381750916	-83.711373835529	14.1345248196358	1
X2485473	-4.40695001487286	1.87385759987609	-11.7206437543207	5.43983613957171	1
X2439928	20.3997158082151	-4.26221909006206	42.2475798563002	-17.585644958023	1
X2446075	20.6599237605534	0.955217388761591	10.4025287497353	9.3021776220566	1
X2487424	61.3264127268428	1.87385759987609	68.2395431401946	-8.78698801322768	1
X2476722	3.9626945258332	-2.4876242537077	-4.42348917137605	10.8738079509169	1
X2488647	-143.052387109724	2.89545371712488	-141.083186223078	-4.86465460377068	1
X2483289	-46.1009429892863	3.82506223718219	-66.5036088288711	16.5776036024025	1
X2394169	20.2670074153625	4.78533381750916	14.8454921119394	0.636181485913853	1
X2475978	29.990624998268	4.78533381750916	10.9500204135184	14.2552707672404	1
