<Trait>	Trait_1_H2_0.9	Trait_2_H2_0.9	Trait_3_H2_0.9	Trait_4_H2_0.9	Rep
X2911010	-8.45338828282032	1.59940679454684	1.10600471883936	-5.05106576366263	1
X2911011	3.54402097409696	-4.06856771704091	-2.96882173085247	4.35217268160583	1
X2911012	10.2929446232883	2.52828386182936	8.53702393553809	1.2663527950182	1
X2911013	16.163122656903	-1.6703475939048	28.8331046451893	-5.2996600063407	1
X2911014	30.2212182221465	-1.56246160891929	0.0255269695660578	9.15823560420163	1
X2911015	26.9630539114089	3.29513122205196	22.9821618720417	1.59201056147752	1
X2911016	-27.3368007138822	0.135428215633947	-38.1425401268048	0.98944206097685	1
X2911017	15.4855411198453	0.187112664296414	15.7083277948724	0.0349044542837249	1
X2911018	45.5123191199907	0.812401610389967	36.7619859205386	0.826458810027177	1
X2911019	-38.1881910024745	-0.679803471782235	-36.4943903761276	-4.51832821504021	1
X2911020	-11.2486375512222	-1.50833216666803	-2.93771562754223	3.06889474026121	1
X2911021	-7.23245300310169	1.07339832769904	-11.5812967594397	-2.95161069705654	1
X2911022	23.2231856579764	-2.69399248787931	26.1427263549114	8.00711882629989	1
X2911023	-13.452530267311	-1.23973816949164	-20.17560503347	-5.58541732186238	1
X2911024	3.69660695481706	3.09464136233424	-1.59501091495254	-5.63947116504401	1
X2911025	-1.17565153131051	3.10375262046008	-4.01133892646739	-4.00095577549313	1
X2911026	-19.4956118707316	-1.49159226604536	-8.73664314376357	-5.50956002367823	1
X2911027	-3.43411223956182	-2.56668657118764	-6.11318895649557	6.00154114971651	1
X2911028	-21.6935271265392	1.72849078335613	-27.6264767402164	-11.543582716122	1
X2911029	-21.9549895542382	3.76135591594582	-15.3079862967242	2.06011779015045	1
X2911030	-10.6509151255826	1.88188368920389	-7.3186287513854	-1.50184876154959	1
X2911031	6.20162017909115	-2.4431878823468	-18.2107749380409	2.67130199672586	1
X2911032	27.4199140444293	3.90241957146551	24.2182017947552	-1.79525603373444	1
X2911033	4.1626294677148	3.7042495819595	13.8348102214316	-2.99418039462586	1
X2911034	16.675896346284	-0.968337442009747	12.0215419107874	5.0863972068404	1
X2911035	-28.7656792106151	0.135826849573997	-24.2570443886399	-7.95122564227109	1
X2911036	-16.5632323409449	-0.39952248075791	-3.62350956780587	2.2126939915349	1
X2911037	2.84489546619777	0.530731309406345	-0.977964384518398	-0.720867253227161	1
